id,position,team,mpg,fgm,fga,fg%,ftm,fta,ft%,threepg,ppg,rpg,asg,spg,bpg,topg
H. Whiteside Mia , C,Mia,25:14,5.8,10.7,.540,2.4,3.4,.703,0.0,14.0,11.4,1.0,0.7,1.7,1.7
E. Fournier Orl ," SG,SF",Orl,32:11,6.5,14.1,.459,2.6,3.0,.867,2.2,17.8,3.2,2.9,0.8,0.3,1.7
W. Carter Jr. Chi , C,Chi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J. Redick Phi , SG,Phi,30:10,5.8,12.6,.460,2.8,3.1,.904,2.8,17.1,2.5,3.0,0.5,0.1,1.5
J. Jackson Jr. Mem , PF,Mem,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D. Smith Jr. Dal ," PG,SG",Dal,29:44,5.9,14.8,.395,1.9,2.8,.694,1.5,15.2,3.8,5.2,1.0,0.3,2.8
D. Saric Phi ," PF,C",Phi,29:36,5.2,11.4,.453,2.3,2.7,.860,2.0,14.6,6.7,2.6,0.7,0.3,1.9
J. Isaac Orl , PF,Orl,19:53,2.0,5.4,.379,0.7,0.9,.760,0.6,5.4,3.7,0.7,1.2,1.1,1.0
B. Hield Sac , SG,Sac,25:20,5.2,11.7,.446,0.9,1.0,.877,2.2,13.5,3.8,1.9,1.1,0.3,1.6
K. Caldwell,Pope LAL ,Caldwell,33:11,4.6,10.8,.426,2.1,2.6,.789,2.1,13.4,5.2,2.2,1.4,0.2,1.3
A. Crabbe Bkn ," SG,SF",Bkn,29:17,4.5,11.0,.407,1.5,1.8,.852,2.7,13.2,4.3,1.6,0.6,0.5,1.0
E. Kanter NY , C,NY,25:45,5.9,10.0,.592,2.2,2.6,.848,0.0,14.1,11.0,1.5,0.5,0.5,1.7
D. Russell Bkn ," PG,SG",Bkn,25:39,5.8,14.0,.414,2.0,2.7,.740,1.9,15.5,3.9,5.2,0.8,0.4,3.1
B. Ingram LAL ," SG,SF",LAL,33:31,6.1,12.9,.470,3.3,4.8,.681,0.7,16.1,5.3,3.9,0.8,0.7,2.5
L. Nance Jr. Cle ," PF,C",Cle,21:33,3.6,6.3,.581,1.4,2.1,.664,0.0,8.7,6.8,1.2,1.3,0.6,0.8
D. Dedmon Atl , C,Atl,24:54,4.0,7.7,.524,1.1,1.4,.779,0.8,10.0,7.9,1.5,0.6,0.8,1.4
T. Evans Ind ," PG,SG",Ind,30:56,7.0,15.6,.452,3.2,4.0,.785,2.2,19.4,5.1,5.2,1.1,0.3,2.3
L. Doncic Dal , PG,Dal,-,-,-,-,-,-,-,-,-,-,-,-,-,-
T. Young Ind ," SF,PF",Ind,32:11,5.2,10.7,.487,0.7,1.1,.598,0.7,11.8,6.3,1.9,1.7,0.4,1.3
A. Wiggins Min ," SG,SF",Min,36:20,6.9,15.9,.438,2.5,3.8,.643,1.4,17.7,4.4,2.0,1.1,0.6,1.7
D. Murray SA , PG,SA,21:29,3.3,7.5,.443,1.3,1.8,.709,0.1,8.1,5.7,2.9,1.2,0.4,1.7
F. VanVleet Tor , PG,Tor,19:59,3.1,7.2,.426,1.1,1.3,.832,1.4,8.6,2.4,3.2,0.9,0.3,1.0
J. Nurkic Por , C,Por,26:27,6.1,12.0,.505,2.2,3.5,.630,0.0,14.3,9.0,1.8,0.8,1.4,2.3
B. Bogdanovic Sac ," SG,SF",Sac,27:51,4.4,9.9,.446,1.3,1.5,.840,1.7,11.8,2.9,3.3,0.9,0.2,1.6
J. Johnson Mia ," SF,PF",Mia,26:38,4.2,8.4,.503,1.5,2.2,.698,0.8,10.8,4.9,3.8,1.0,0.7,1.9
T. Ariza Pho ," SG,SF",Pho,33:52,4.0,9.7,.412,1.1,1.3,.854,2.5,11.7,4.4,1.6,1.5,0.2,0.8
E. Gordon Hou , SG,Hou,31:12,6.0,14.1,.428,2.8,3.5,.809,3.2,18.0,2.5,2.2,0.6,0.4,1.9
M. Brogdon Mil ," PG,SG",Mil,29:56,5.1,10.5,.485,1.6,1.8,.882,1.3,13.0,3.3,3.2,0.9,0.3,1.4
T. Young Atl , PG,Atl,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D. Nowitzki Dal ," PF,C",Dal,24:40,4.5,9.8,.456,1.3,1.4,.898,1.8,12.0,5.7,1.6,0.6,0.6,0.7
R. Hollis,Jefferson Bkn ,Hollis,28:14,5.0,10.6,.472,3.7,4.6,.788,0.2,13.9,6.8,2.5,1.0,0.7,1.8
M. Hezonja NY ," SG,SF",NY,22:03,3.6,8.2,.442,1.1,1.4,.819,1.2,9.6,3.7,1.4,1.1,0.4,1.1
J. Bell GS ," PF,C",GS,14:13,2.0,3.2,.627,0.5,0.8,.682,0.0,4.6,3.6,1.8,0.6,1.0,0.9
J. Parker Chi ," SF,PF",Chi,23:54,5.2,10.7,.482,1.3,1.7,.741,1.0,12.6,4.9,1.9,0.8,0.3,1.5
J. Grant OKC ," SF,PF",OKC,20:19,3.0,5.6,.535,2.0,3.0,.675,0.4,8.4,3.9,0.7,0.4,1.0,0.7
C. Anthony Hou ," SF,PF",Hou,32:04,6.1,15.0,.404,1.9,2.5,.767,2.2,16.2,5.8,1.3,0.6,0.6,1.3
E. Payton NO , PG,NO,28:40,5.2,10.6,.493,1.7,2.7,.649,0.5,12.7,4.3,6.2,1.3,0.3,2.7
T. Rozier Bos ," PG,SG",Bos,25:50,4.0,10.0,.395,1.4,1.9,.772,1.9,11.3,4.7,2.9,1.0,0.2,1.0
J. McGee LAL , C,LAL,9:25,2.1,3.4,.621,0.6,0.8,.731,0.0,4.8,2.6,0.5,0.3,0.9,0.4
I. Thomas Den , PG,Den,26:58,4.9,13.2,.373,3.7,4.1,.893,1.7,15.2,2.1,4.8,0.5,0.1,3.0
M. Williams Cha ," SF,PF",Cha,25:44,3.3,7.2,.458,1.3,1.6,.829,1.6,9.5,4.7,1.2,0.7,0.5,0.8
